Name_CELI,Name_Leave_Russia,Name_Orbis,CELI Grade,GICS Industry Sector,Country CELI,Revenue_Share_RU_2021_,Global_Profit Margin_2021_%,Asset_Share_RU_2021,Employee_Share_in_Russia,CashAsset Ratio_2021,Gearing 2021,Current Ratio 2021,Sanction_Rating,Subsidiaries_RU_Latest,Employees_Subsidiaries_RU,Assets_RU_Subsidiaries,"ROA using Profit 
(Loss) before tax 2021 (%)",Global_Revenue_2021_m,Global_Assets_2021
3M,3M,3M COMPANY,Suspension,Industrials,United States,0.007014567,20.376,0.002081917,0.008515789,0.096957852,161.432,1.705,2,1,61,20,15.3,35355,47072
Abbott Laboratories,Abbott Labs,ABBOTT LABORATORIES,Buying Time,Health Care,United States,0.015020313,19.062,0.012740039,0.006380531,0.130312783,75.535,1.85,0,3,752,540,10.92,43075,75196
Abbvie,AbbVie,ABBVIE INC.,Buying Time,Health Care,United States,0.002491236,23.113,0.001242075,0.00606,0.066512431,703.583,0.794,0,1,157,126,8.86,56197,146529
Abrdn,Abrdn,ABERDEEN GROUP PLC,Suspension,Financials,United Kingdom,0,66.172,0,0,n.a.,6.861,1.257,2,0,n.a.,n.a.,9.77,2263.628802,15338.93986
Adidas,Adidas,ADIDAS AG,Scaling Back,Consumer Discretionary,Germany,0.031934845,8.677,0.025605873,0.114004658,0.17292316,68.087,1.556,1,1,5501,231,8.37,24174.22096,25072.37301
Adobe,Adobe,ADOBE INC.,Scaling Back,Information Technology,United States,0,36.142,0,0,0.141110826,37.251,1.251,2,0,n.a.,n.a.,20.94,15785,27241
ADP,ADP,"AUTOMATIC DATA PROCESSING, INC.",Suspension,Information Technology,United States,0,22.4,0,0,0.052800246,88.337,1.069,2,0,n.a.,n.a.,6.89,15005.4,48772.5
AECOM,AECOM,AECOM,Withdrawal,Industrials,United States,0,3.064,0,0.006862745,0.104755481,130.849,1.118,2,0,n.a.,n.a.,3.48,13340.852,11733.954
AG Barr,AG Barr,BARR (A.G.) PLC,Withdrawal,Consumer Staples,United Kingdom,0,15.67,0,0,0.204281891,12.329,2.379,0,0,n.a.,n.a.,12.55,360.9697148,450.7765135
AGCO,AGCO,AGCO CORPORATION,Scaling Back,Industrials,United States,0.014095508,8.478,0.010455125,0.003090129,0.096829701,67.844,1.451,2,2,0,0,10.28,11138.3,9182.1
Agilent,Agilent Technologies,"AGILENT TECHNOLOGIES, INC.",Withdrawal,Information Technology,United States,0,21.522,0,0,0.13862681,66.951,2.224,2,0,n.a.,n.a.,12.7,6319,10705
Air Lease,Air Lease,AIR LEASE CORPORATION,Withdrawal,Industrials,United States,0,25.906,0,0,0.040287411,259.319,0.608,2,0,n.a.,n.a.,2.01,2088.389,26968.722
Air Products,Air Products,"AIR PRODUCTS AND CHEMICALS, INC.",Withdrawal,Materials,United States,0.00271239,24.289,0.00093078,0.002299401,0.166382469,81.279,2.992,2,0,n.a.,n.a.,9.34,10323,26859.2
Airbnb,Airbnb,"AIRBNB, INC.",Suspension,Consumer Discretionary,United States,0,-5.01,0,2.168949772,0.442604917,53.887,1.948,1,0,n.a.,n.a.,-2.19,5991.76,13708.474
Akamai,Akamai,"AKAMAI TECHNOLOGIES, INC.",Suspension,Information Technology,United States,0,21.039,0,0,0.065947483,62.214,2.43,2,0,n.a.,n.a.,8.95,3461.223,8138.673
Alaska Airlines,Alaska Airlines,"ALASKA AIR GROUP, INC.",Suspension,Industrials,United States,0,10.185,0,0,0.033689341,171.665,0.982,2,0,n.a.,n.a.,4.51,6176,13951
Alcoa,Alcoa,ALCOA CORPORATION,Withdrawal,Materials,United States,0,9.867,0,0,0.120732113,152.633,1.559,2,0,n.a.,n.a.,7.98,12152,15025
Align Technology,Align Technology,ALIGN TECHNOLOGY INC,Digging In,Health Care,United States,0.004553983,25.614,0.001178033,0.002528838,0.185013404,10.912,1.296,0,0,n.a.,n.a.,17.04,3952.584,5942.11
Allianz,Allianz,ALLIANZ SE,Scaling Back,Financials,Germany,6.82181E-05,12.259,0,0,n.a.,n.a.,n.a.,2,8,86,9,0.84,87953.20948,1290517.636
Alphabet,Alphabet,ALPHABET INC.,Scaling Back,Communication Services,United States,0.007238867,35.218,0.000256076,0.001597444,0.058299097,17.284,2.928,1,0,n.a.,n.a.,25.26,257637,359268
Amazon,Amazon,"AMAZON.COM, INC.",Suspension,Consumer Discretionary,United States,0.000159635,8.12,0,2.92289E-05,0.086125517,108.364,1.136,1,0,n.a.,n.a.,9.07,469822,420549
AMD,AMD,"ADVANCED MICRO DEVICES, INC.",Suspension,Information Technology,United States,0,22.326,0,0,0.204122715,13.259,2.024,2,0,n.a.,n.a.,29.54,16434,12419
American Airlines,American Airlines,AMERICAN AIRLINES GROUP INC.,Withdrawal,Industrials,United States,0,-8.527,0,0,0.004107301,n.a.,0.912,2,0,n.a.,n.a.,-3.83,29882,66467
American Express,American Express,AMERICAN EXPRESS COMPANY,Suspension,Financials,United States,0.000347891,24.538,0.000169718,0,n.a.,n.a.,n.a.,2,0,n.a.,n.a.,5.61,43117,188548
AmerisourceBergen,AmerisourceBergen,"CENCORA, INC.",Buying Time,Health Care,United States,0,1.038,0,0,0.044423431,n.a.,0.938,0,0,n.a.,n.a.,3.88,213988.843,57337.805
Ametek,Ametek,"AMETEK, INC.",Withdrawal,Industrials,United States,0,22.053,0,0,0.029144945,54.979,1.362,2,0,n.a.,n.a.,10.28,5546.514,11898.187
Amgen,Amgen,AMGEN INC.,Scaling Back,Health Care,United States,0.005812387,25.794,0.001389684,0.006157025,0.130613913,632.358,1.591,0,0,n.a.,n.a.,10.96,25979,61165
Analog Devices,Analog Devices,ANALOG DEVICES INC,Suspension,Information Technology,United States,0,18.156,0,0,0.025132167,31.785,1.941,2,0,n.a.,n.a.,2.54,7318.286,52322.071
Apple,Apple,APPLE INC.,Suspension,Information Technology,United States,0.014654868,29.853,0.003341861,0.052850649,0.099543592,272.821,1.075,2,0,n.a.,n.a.,31.11,365817,351002
Archer Daniels Midland (ADM),ADM,ARCHER-DANIELS-MIDLAND COMPANY,Buying Time,Consumer Staples,United States,0.000973618,3.886,0.001140088,0.006780488,0.016798489,54.638,1.454,0,2,308,124,5.9,85249,56136
ARM,ARM,ARM HOLDINGS PLC,Suspension,Information Technology,United Kingdom,0,29.079,0,n.a.,0.15422427,44.166,2.216,2,0,n.a.,n.a.,12.07,3547.821545,8544.697838
Asos,Asos,ASOS PLC,Suspension,Consumer Discretionary,United Kingdom,0,4.529,0,0,0.22974519,82.447,1.563,1,0,n.a.,n.a.,6.14,5384.368683,3971.668959
Aspo,Aspo,ASPO OYJ,Withdrawal,Industrials,Finland,0.117392895,5.118,0,0.066315789,0.043555413,136.488,1.389,2,0,n.a.,n.a.,7.39,664.43544,460.1868309
Aston Martin,Aston Martin,ASTON MARTIN LAGONDA GLOBAL HOLDINGS PLC,Suspension,Consumer Discretionary,United Kingdom,0,-19.52,0,0,0.147370273,210.66,0.959,1,0,n.a.,n.a.,-7.52,1471.425891,3818.614165
AstraZeneca,AstraZeneca,ASTRAZENECA PLC,Buying Time,Health Care,United Kingdom,0.01985079,-0.699,0.007497888,0.04534296,0.060068525,111.724,1.162,0,3,3777,1238,-0.25,37933,105363
Atria,Atria,ATRIA OYJ,Withdrawal,Consumer Staples,Finland,0.02684012,0.313,0,0.022365939,0.059630084,52.93,1.119,0,0,n.a.,n.a.,0.5,1751.109938,1088.951024
Aurubis AG,Aurubis AG,AURUBIS AG,Buying Time,Industrials,Germany,0,5.044,0,0,0.142504955,39.642,2.38,2,0,n.a.,n.a.,12.48,18946.39821,7657.600589
Autodesk,Autodesk,"AUTODESK, INC.",Suspension,Information Technology,United States,0.00091191,12.874,0.000232374,0.002460317,0.177580518,482.629,0.689,2,0,n.a.,n.a.,6.56,4386.4,8606.8
Avantor,Avantor,"AVANTOR, INC.",Withdrawal,Health Care,United States,0,10.195,0,0,0.021709409,197.632,1.707,0,0,n.a.,n.a.,5.42,7386.1,13897.2
Avery Dennison,Avery Dennison,AVERY DENNISON CORPORATION,Withdrawal,Materials,United States,0,11.805,0,0,0.020409955,182.124,1.073,2,1,30,1,12.45,8408.3,7971.6
Aviva,Aviva,AVIVA PLC,Withdrawal,Financials,United Kingdom,0,16.185,0,0,n.a.,n.a.,n.a.,2,1,n.a.,n.a.,0.65,19331.52431,481573.9294
Baker Hughes,Baker Hughes,BAKER HUGHES COMPANY,Withdrawal,Energy,United States,0.032582187,2.088,0.005352895,0.005962963,0.109125411,57.885,1.65,2,0,n.a.,n.a.,1.21,20502,35308
Ball Corporation,Ball Corporation,BALL CORPORATION,Withdrawal,Materials,United States,0.047281153,7.299,0.039717967,0.418559671,0.028558385,273.786,0.877,2,1,n.a.,n.a.,5.11,13811,19714
BASF SE,BASF SE,BASF SE,Withdrawal,Materials,Germany,n.a.,n.a.,n.a.,0.04113586,n.a.,n.a.,n.a.,2,5,131,154,n.a.,n.a.,n.a.
Bayer,Bayer,BAYER AG,Buying Time,Health Care,Germany,0.023406283,4.52,0.00579359,0.014392244,0.037957103,180.026,1.108,0,2,1552,588,1.7,51268.28552,136184.9936
Beiersdorf,Beiersdorf,BEIERSDORF AG,Scaling Back,Consumer Staples,Germany,0.025925441,11.529,0.005938776,0.072980989,0.09168953,22.527,1.393,0,2,1515,99,8.03,8910.166619,12797.25087
Bentley Systems,Bentley Systems,"BENTLEY SYSTEMS, INCORPORATED",Withdrawal,Information Technology,United States,0.00828976,9.671,0.003384422,0.030263727,0.123846147,405.952,1.037,2,1,1,0,3.51,965.046,2659.243
BlackRock,BlackRock,"BLACKROCK, INC.",Withdrawal,Financials,United States,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,2,0,n.a.,n.a.,n.a.,n.a.,n.a.
BMW,BMW,BAYERISCHE MOTOREN WERKE AG,Suspension,Consumer Discretionary,Germany,0.025211626,14.251,0.007185656,0.028593294,0.069747786,137.956,1.127,1,4,131,1535,7,127639.5243,259962.3508
BNY Mellon,BNY Mellon,THE BANK OF NEW YORK MELLON CORPORATION,Scaling Back,Financials,United States,0,29.176,0,0,n.a.,n.a.,n.a.,2,0,n.a.,n.a.,1.05,15931,444438
Boeing,Boeing,THE BOEING COMPANY,Suspension,Industrials,United States,0,-8.08,0,0,0.058115365,n.a.,1.325,2,0,n.a.,n.a.,-3.63,62286,138552
Boohoo Group,Boohoo Group,BOOHOO GROUP PLC,Suspension,Consumer Discretionary,United Kingdom,0,0.393,0,0,0.10146234,37.131,0.998,1,0,n.a.,n.a.,0.78,2655.995645,1337.307001
Booking,Booking,BOOKING HOLDINGS INC.,Withdrawal,Consumer Discretionary,United States,0,13.369,0,0,0.470665369,213.758,2.105,1,0,n.a.,n.a.,6.2,10958,23641
Boreo,Boreo,BOREO OYJ,Withdrawal,Industrials,Finland,0,4.626,0,0,0.03798768,195.536,1.464,2,0,n.a.,n.a.,6.98,166.4922452,110.3152699
Boston Scientific,Boston Scientific,BOSTON SCIENTIFIC CORPORATION,Scaling Back,Health Care,United States,0.00429004,9.051,0.000403363,0.009341463,0.059728816,69.751,1.478,0,1,n.a.,n.a.,3.34,11888,32229
Brenntag,Brenntag,BRENNTAG SE,Scaling Back,Materials,Germany,0.005507833,4.507,0.002338183,0.002726851,0.069148154,72.738,1.406,2,1,n.a.,n.a.,6.38,16340.36442,11547.42643
Brinks,Brinks,THE BRINK'S COMPANY,Suspension,Consumer Discretionary,United States,0,5.607,0,0,0.127598038,n.a.,1.399,1,0,n.a.,n.a.,4.23,4200.2,5566.7
Bristol-Myers Squibb,Bristol Myers Squibb,BRISTOL-MYERS SQUIBB COMPANY,Withdrawal,Health Care,United States,0.007286838,17.458,0.002991383,0.003819876,0.12787932,156.524,1.521,0,0,n.a.,n.a.,7.41,46385,109314
British American Tobacco,British American Tobacco,BRITISH AMERICAN TOBACCO PLC,Withdrawal,Consumer Staples,United Kingdom,0.105588059,35.406,0.011049327,0.055830932,0.020449168,87.257,0.846,0,0,n.a.,n.a.,6.67,34767.18895,184536.1248
British Petroleum (BP),British Petroleum (BP),BP P.L.C.,Withdrawal,Energy,United Kingdom,0.000872898,9.632,0.23670946,0.017116844,0.10680122,135.011,1.153,2,6,1444,3525,5.3,158094,287272
Broadridge Financial Solutions,Broadridge Financial Solutions,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Withdrawal,Financials,United States,0.002002523,13.942,0.000492623,0.009121424,0.033806251,277.635,0.979,2,1,49,0,8.57,4993.7,8119.8
Brown-Forman,Brown-Forman,BROWN-FORMAN CORPORATION,Suspension,Consumer Staples,United States,0.014446692,31.234,0.00490647,0.010425532,0.17632628,110.994,4.267,0,0,n.a.,n.a.,16.58,3461,6522
Bruker,Bruker's,BRUKER CORPORATION,Withdrawal,Industrials,United States,0,16.279,0,0,0.292657534,163.793,2.634,2,0,n.a.,n.a.,10.78,2417.9,3650
Bumble,Bumble,BUMBLE INC.,Withdrawal,Communication Services,United States,0,-20.515,0,0,0.097743021,124.275,2.668,1,1,71,3,-4.13,760.91,3776.996
